ID,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"N.Asset/N.Premium
(2 yeara ago)",Y0,Y
2014_12934,21,18,25,0,180,0,17,2,52,0,-1,-8,-16,1905,345,5.52173913,1,pos
2015_12934,19,17,7,0,102,0,14,2,46,0,-1,-1,-8,2178,370,5.886486486,1,pos
2016_12934,26,21,50,0,80,0,19,6,41,1,-5,-3,-4,2601,555,4.686486486,0,neg
2017_12934,31,25,39,0,67,0,18,9,41,1,-3,-7,-7,3066,771,3.976653696,0,neg
2007_12557,158,139,999,0,78,3.4,999,999,87,49,0,0,0,1545,2145,0.72027972,0,neg
2011_12557,88,69,-10,0,98,0.3,45,21,14,13,-17,-17,22,1758,1211,1.451692816,0,neg
2012_12557,103,83,7,0,127,0.4,-11,-40,27,5,0,-17,-6,1564,1294,1.208655332,0,neg
2011_10807,213,192,11,1,90,3.2,1,1,71,10,-14,-18,-24,54101,103674,0.521837684,0,neg
2012_10807,254,228,22,2,88,3.1,2,2,80,22,-15,-19,-8,55233,126153,0.437825498,0,neg
2013_10807,362,326,33,3,91,2.6,-7,-7,93,43,-4,-18,6,51609,168139,0.30694247,0,neg
2014_10807,512,461,59,3,95,2,12,12,102,53,0,-7,37,58004,267253,0.217037788,0,neg
2015_10807,530,477,18,3,96,2,14,14,101,43,8,4,56,66329,316135,0.209812264,0,neg
2016_10807,642,577,5,3,100,2.1,-13,-14,109,47,31,26,47,57671,332952,0.173211154,1,pos
2017_10807,715,603,-12,11,106,1.6,-16,-16,117,44,62,59,95,48654,293581,0.165725984,1,pos
2006_10349,75,51,0,0,91,3.8,7,7,50,8,0,-4,-9,20898,10742,1.945447775,1,pos
2007_10349,42,27,-20,0,84,3.3,52,18,38,4,-15,-10,-12,31663,8575,3.692478134,1,pos
2008_10349,41,26,-5,0,75,3.7,-2,-2,35,3,-7,-21,-8,31074,8169,3.803892765,1,pos
2010_10349,29,20,-21,0,81,4.3,9,9,30,2,2,0,-2,29075,1.588461538,18303.87409,1,pos
2011_10349,59,37,106,0,88,4.4,10,10,39,8,2,4,8,32050,11807,2.714491403,1,pos
2012_10349,91,47,34,0,88,3.8,4,4,43,7,1,4,25,33447,15780,2.119581749,1,pos
2013_10349,31,11,-75,0,91,3.4,11,11,31,3,-3,0,-2,37016,3997,9.260945709,1,pos
2014_10349,31,21,164,0,87,2.8,34,21,30,3,-2,-4,-2,49759,10558,4.712919113,1,pos
2015_10349,35,23,8,0,96,2.3,-1,-1,33,2,4,2,2,49427,11372,4.346377066,0,neg
2016_10349,37,23,3,0,101,2.3,2,2,33,4,2,5,1,50294,11658,4.31411906,0,neg
2017_10349,118,87,315,1,95,2.5,11,11,63,31,2,2,42,55672,48362,1.151151731,1,pos
2006_20010,114,76,-7,1,82,3.1,21,21,70,0,-1,-6,-14,61703,46659,1.322424398,1,pos
2007_20010,76,47,-21,1,88,3.1,26,26,72,6,-1,-5,-16,77751,36892,2.107530088,1,pos
2008_20010,57,37,-17,0,87,3,7,7,63,4,-2,-1,-9,83029,30449,2.726821899,1,pos
2011_20010,55,30,1,2,79,3.1,18,18,58,4,-8,-11,-7,84443,25453,3.317604997,1,pos
